Data Source,World Development Indicators,,,,,,,,,,
,,,,,,,,,,,
Last Updated Date,3/28/24,,,,,,,,,,
,,,,,,,,,,,
Country Name,Country Code,Indicator Name,2013,2014,2015,2016,2017,2018,2019,2020,2021
Oman,OMN,Individuals using the Internet (% of population),66.45,70.22,73.53,76.84539047,80.18563573,85.5,90.25944052,95.23229321,96.38007504
Other small states,OSS,Individuals using the Internet (% of population),35.40399879,39.42286838,43.37169235,47.37719145,51.27207535,58.17512591,60.22423782,62.95616645,65.66816851
Pakistan,PAK,Individuals using the Internet (% of population),9,10,11,12.38544676,13.78,15.34,17.07090172,18.93481469,21.0372074
Panama,PAN,Individuals using the Internet (% of population),44.03,44.92,51.20542499,54,59.9506309,61.80553132,63.62841477,65.54188027,67.509728
Peru,PER,Individuals using the Internet (% of population),39.2,40.2,40.85260091,45.46174069,50.45041218,55.05433424,59.9505036,65.25179796,71.10782643
Philippines,PHL,Individuals using the Internet (% of population),32.7,34.7,36.9,39.2,41.6,44.1,43.02661187,47.11190815,52.67573808
Palau,PLW,Individuals using the Internet (% of population),,,,,,,,,
Papua New Guinea,PNG,Individuals using the Internet (% of population),5.1,6.5,7.9,9.601538462,11.20919659,,19.97827095,27.73001017,32.05416291
Poland,POL,Individuals using the Internet (% of population),62.8492,66.6,67.99698716,73.3007041,75.98536595,77.54173454,80.43590688,83.18488715,85.37490906
Pre-demographic dividend,PRE,Individuals using the Internet (% of population),8.818103664,10.90524457,12.88687256,15.90768209,18.82029295,22.67316169,26.04746866,30.37223253,35.17308292
Puerto Rico,PRI,Individuals using the Internet (% of population),68.99999,69,63.46633538,68.6438072,68.74077314,70.85639974,77.73643937,,84.78666399
"Korea, Dem. People's Rep.",PRK,Individuals using the Internet (% of population),0,,,,,,,,
